steamid,appid,rating
0,10,1
0,80,1
0,100,1
0,240,1
0,550,1
0,730,1
0,1250,1
0,1500,1
0,1510,1
0,1520,1
0,1530,1
0,4560,1
0,4570,1
0,4580,1
0,7610,1
0,7670,1
0,7760,1
0,8080,1
0,8190,1
0,8850,1
0,8870,1
0,8880,1
0,8890,1
0,8930,1
0,9310,1
0,9340,1
0,9450,1
0,9480,1
0,10180,1
0,10190,1
0,10500,1
0,11450,1
0,11590,1
0,12100,1
0,12110,1
0,12120,1
0,12210,1
0,12220,1
0,12230,1
0,12240,1
0,12250,1
0,12710,1
0,12750,1
0,12770,1
0,12810,1
0,12830,1
0,13200,1
0,13210,1
0,13230,1
0,13240,1
0,13250,1
0,13520,1
0,15620,1
0,17410,0
0,17450,1
0,17470,0
0,17710,1
0,19900,1
0,20540,1
0,20570,1
0,21670,1
0,21680,1
0,23490,0
0,24240,1
0,24740,0
0,24800,0
0,24980,1
0,25890,1
0,28000,1
0,33910,1
0,33930,1
0,34030,1
0,34330,1
0,35130,1
0,35420,1
0,35450,1
0,40100,1
0,42120,1
0,42160,1
0,42680,1
0,42690,1
0,42910,0
0,42960,1
0,43110,1
0,43160,1
0,44340,1
0,44350,1
0,47780,1
0,47790,0
0,47830,0
0,50130,1
0,50300,1
0,50620,1
0,50650,1
0,55150,1
0,55230,1
0,56400,1
0,57690,1
0,57900,1
0,58520,0
0,58610,0
0,65790,1
0,65930,1
0,67370,1
0,70900,1
0,72850,1
0,91310,1
0,92800,1
0,98400,1
0,108710,1
0,108800,0
0,200510,1
0,201700,1
0,201810,1
0,202130,1
0,202170,1
0,202970,1
0,202990,1
0,203140,1
0,203160,1
0,203770,1
0,204100,1
0,204560,0
0,205100,1
0,205650,0
0,205930,1
0,206420,1
0,206980,1
0,207170,1
0,208670,1
0,208730,0
0,209080,1
0,209730,0
0,211420,0
0,212910,1
0,214950,1
0,215530,1
0,215670,1
0,216250,1
0,218620,1
0,219540,1
0,219780,0
0,220240,1
0,220440,1
0,220660,1
0,221040,1
0,221100,1
0,222480,1
0,222900,1
0,223530,1
0,224580,1
0,224600,0
0,226720,1
0,226960,1
0,227940,1
0,228200,1
0,228300,1
0,231140,0
0,231430,1
0,231740,1
0,233270,1
0,233290,1
0,233450,1
0,234140,1
0,234650,1
0,235210,1
0,236130,1
0,236850,1
0,238010,1
0,239030,1
0,239160,1
0,242920,1
0,243040,1
0,243470,1
0,243800,1
0,244160,0
0,245620,0
0,247020,1
0,247660,1
0,254700,1
0,255220,1
0,261640,1
0,262060,0
0,264140,1
0,272470,1
0,287260,1
0,287290,1
0,287340,1
0,291710,1
0,295270,1
0,298630,1
0,300550,1
0,310380,0
0,317280,1
0,321040,1
0,329050,1
0,346940,1
0,350080,1
0,351570,1
0,359580,1
0,359900,1
0,360430,1
0,365720,1
0,370240,1
0,385710,1
0,394230,1
0,400170,1
0,409710,1
0,409720,1
0,437900,1
0,440090,1
0,457600,1
0,462780,1
0,489830,1
1,10,0
1,80,0
1,100,0
1,240,0
1,550,1
1,730,0
1,1250,0
1,1500,0
1,1510,0
1,1520,0
1,1530,0
1,4560,0
1,4570,0
1,4580,0
1,7610,0
1,7670,0
1,7760,0
1,8080,0
1,8190,0
1,8850,0
1,8870,0
1,8880,0
1,8890,0
1,8930,0
1,9310,0
1,9340,0
1,9450,0
1,9480,0
1,10180,0
1,10190,0
1,10500,0
1,11450,0
1,11590,0
1,12100,0
1,12110,0
1,12120,0
1,12210,0
1,12220,0
1,12230,0
1,12240,0
1,12250,0
1,12710,0
1,12750,0
1,12770,0
1,12810,0
1,12830,0
1,13200,0
1,13210,0
1,13230,0
1,13240,0
1,13250,0
1,13520,0
1,15620,0
1,17410,1
1,17450,0
1,17470,1
1,17710,0
1,19900,0
1,20540,0
1,20570,0
1,21670,0
1,21680,0
1,23490,1
1,24240,0
1,24740,1
1,24800,1
1,24980,0
1,25890,0
1,28000,0
1,33910,0
1,33930,0
1,34030,0
1,34330,0
1,35130,0
1,35420,0
1,35450,0
1,40100,0
1,42120,0
1,42160,0
1,42680,0
1,42690,0
1,42910,1
1,42960,0
1,43110,0
1,43160,0
1,44340,0
1,44350,0
1,47780,0
1,47790,1
1,47830,1
1,50130,0
1,50300,0
1,50620,0
1,50650,0
1,55150,0
1,55230,0
1,56400,0
1,57690,1
1,57900,0
1,58520,1
1,58610,1
1,65790,0
1,65930,0
1,67370,0
1,70900,0
1,72850,1
1,91310,0
1,92800,0
1,98400,0
1,108710,0
1,108800,1
1,200510,0
1,201700,0
1,201810,0
1,202130,0
1,202170,0
1,202970,0
1,202990,0
1,203140,0
1,203160,0
1,203770,0
1,204100,0
1,204560,1
1,205100,0
1,205650,1
1,205930,0
1,206420,0
1,206980,0
1,207170,0
1,208670,0
1,208730,1
1,209080,0
1,209730,1
1,211420,1
1,212910,0
1,214950,0
1,215530,0
1,215670,0
1,216250,0
1,218620,0
1,219540,0
1,219780,1
1,220240,0
1,220440,0
1,220660,0
1,221040,0
1,221100,0
1,222480,0
1,222900,0
1,223530,1
1,224580,0
1,224600,1
1,226720,0
1,226960,0
1,227940,0
1,228200,0
1,228300,0
1,231140,1
1,231430,0
1,231740,0
1,233270,0
1,233290,0
1,233450,0
1,234140,0
1,234650,0
1,235210,0
1,236130,0
1,236850,0
1,238010,0
1,239030,0
1,239160,0
1,242920,0
1,243040,0
1,243470,0
1,243800,0
1,244160,0
1,245620,1
1,247020,0
1,247660,0
1,254700,0
1,255220,0
1,261640,0
1,262060,0
1,264140,0
1,272470,0
1,287260,0
1,287290,0
1,287340,0
1,291710,0
1,295270,0
1,298630,0
1,300550,0
1,310380,0
1,317280,0
1,321040,0
1,329050,0
1,346940,0
1,350080,0
1,351570,0
1,359580,0
1,359900,0
1,360430,0
1,365720,0
1,370240,0
1,385710,0
1,394230,0
1,400170,0
1,409710,0
1,409720,0
1,437900,0
1,440090,0
1,457600,0
1,462780,0
1,489830,0
2,10,0
2,80,0
2,100,0
2,240,0
2,550,0
2,730,0
2,1250,0
2,1500,0
2,1510,0
2,1520,0
2,1530,0
2,4560,0
2,4570,0
2,4580,0
2,7610,0
2,7670,0
2,7760,0
2,8080,0
2,8190,0
2,8850,0
2,8870,0
2,8880,0
2,8890,0
2,8930,0
2,9310,0
2,9340,0
2,9450,0
2,9480,0
2,10180,0
2,10190,0
2,10500,0
2,11450,0
2,11590,0
2,12100,0
2,12110,0
2,12120,0
2,12210,0
2,12220,0
2,12230,0
2,12240,0
2,12250,0
2,12710,0
2,12750,0
2,12770,0
2,12810,0
2,12830,0
2,13200,0
2,13210,0
2,13230,0
2,13240,0
2,13250,0
2,13520,0
2,15620,0
2,17410,0
